invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I125590,C100561,Male,66,Shoes,4,2400.68,Cash,23/01/2023,Metropol AVM
I325655,C163532,Male,46,Clothing,2,600.16,Cash,4/6/2021,Metropol AVM
I132360,C195161,Female,31,Souvenir,2,23.46,Credit Card,15/01/2021,Istinye Park
I224962,C223681,Female,60,Clothing,5,1500.4,Debit Card,4/12/2022,Viaport Outlet
I301979,C721560,Male,36,Clothing,2,600.16,Credit Card,22/11/2022,Emaar Square Mall
I332761,C289661,Male,66,Cosmetics,2,81.32,Debit Card,8/11/2022,Mall of Istanbul
I304295,C222140,Male,34,Books,3,45.45,Cash,11/7/2022,Metropol AVM
I128278,C105553,Male,56,Clothing,4,1200.32,Cash,3/4/2022,Metropol AVM
I281181,C318319,Female,36,Clothing,5,1500.4,Cash,17/04/2021,Istinye Park
I167941,C115505,Female,18,Books,5,75.75,Cash,7/6/2022,Mall of Istanbul
I103029,C213516,Female,18,Toys,5,179.2,Cash,21/06/2021,Mall of Istanbul
I290895,C188039,Female,32,Clothing,4,1200.32,Debit Card,25/01/2022,Viaport Outlet
I220851,C149620,Male,62,Shoes,4,2400.68,Cash,20/01/2021,Kanyon
I370390,C513747,Female,31,Technology,1,1050.0,Credit Card,12/5/2022,Mall of Istanbul
I194267,C486938,Female,18,Books,4,60.6,Credit Card,2/2/2021,Mall of Istanbul
I116368,C430223,Female,22,Toys,1,35.84,Cash,30/12/2022,Mall of Istanbul
I368907,C128502,Female,24,Shoes,2,1200.34,Cash,4/2/2022,Kanyon
I479228,C118832,Male,23,Clothing,5,1500.4,Credit Card,27/08/2022,Metrocity
I506854,C296081,Female,52,Clothing,4,1200.32,Credit Card,28/07/2021,Emaar Square Mall
I156777,C693272,Female,45,Clothing,1,300.08,Debit Card,4/10/2022,Metrocity
I166932,C151703,Female,44,Clothing,3,900.24,Credit Card,19/02/2022,Mall of Istanbul
I143702,C990220,Female,35,Clothing,1,300.08,Credit Card,26/08/2022,Zorlu Center
I133175,C137415,Female,58,Cosmetics,2,81.32,Debit Card,21/08/2022,Kanyon
I313355,C382371,Female,27,Toys,2,71.68,Credit Card,19/03/2021,Metrocity
I221690,C501135,Female,42,Clothing,3,900.24,Cash,18/06/2021,Mall of Istanbul
I339594,C420679,Female,26,Toys,4,143.36,Cash,31/07/2022,Istinye Park
I172528,C337337,Male,44,Shoes,3,1800.51,Cash,23/12/2022,Metropol AVM
I329772,C190094,Female,24,Clothing,5,1500.4,Cash,14/01/2021,Mall of Istanbul
I146022,C268047,Female,57,Clothing,2,600.16,Credit Card,13/04/2022,Forum Istanbul
I139860,C224033,Male,28,Clothing,5,1500.4,Debit Card,8/3/2023,Emaar Square Mall
I806656,C195834,Female,26,Shoes,4,2400.68,Cash,7/5/2022,Mall of Istanbul
I598096,C196206,Male,37,Toys,1,35.84,Credit Card,1/6/2021,Metrocity
I314734,C298742,Male,51,Clothing,5,1500.4,Cash,12/4/2022,Emaar Square Mall
I145979,C195150,Female,63,Clothing,2,600.16,Cash,7/4/2022,Mall of Istanbul
I462964,C259065,Female,20,Clothing,3,900.24,Cash,7/8/2021,Metrocity
I330420,C539871,Male,22,Food & Beverage,5,26.15,Cash,29/05/2021,Emaar Square Mall
I199564,C312583,Female,23,Clothing,1,300.08,Debit Card,14/04/2021,Kanyon
I102049,C282234,Female,58,Cosmetics,4,162.64,Cash,17/02/2022,Metropol AVM
I118304,C286607,Female,50,Food & Beverage,3,15.69,Credit Card,14/04/2022,Mall of Istanbul
I220925,C248548,Female,53,Shoes,4,2400.68,Debit Card,22/12/2022,Metrocity
I240802,C327326,Male,48,Food & Beverage,1,5.23,Cash,11/3/2022,Cevahir AVM
I109849,C332897,Male,50,Toys,4,143.36,Cash,16/01/2023,Cevahir AVM
I169849,C303984,Female,21,Food & Beverage,1,5.23,Cash,17/03/2021,Viaport Outlet
I260199,C141910,Male,22,Toys,3,107.52,Cash,15/07/2021,Mall of Istanbul
I435671,C969814,Female,59,Food & Beverage,2,10.46,Cash,28/11/2021,Kanyon
I162130,C569143,Male,44,Toys,1,35.84,Credit Card,9/9/2022,Emaar Square Mall
I265057,C338868,Female,32,Food & Beverage,1,5.23,Cash,1/1/2023,Emaar Square Mall
I112049,C410940,Female,33,Clothing,1,300.08,Credit Card,21/01/2021,Metropol AVM
I167111,C221713,Male,63,Shoes,3,1800.51,Credit Card,7/10/2022,Kanyon
I195599,C212750,Male,61,Shoes,3,1800.51,Cash,17/12/2021,Metropol AVM
I668401,C221645,Female,32,Cosmetics,3,121.98,Credit Card,6/8/2021,Kanyon
I157247,C108563,Male,25,Technology,1,1050.0,Credit Card,2/1/2021,Mall of Istanbul
I186145,C323828,Female,23,Clothing,5,1500.4,Credit Card,7/4/2022,Emaar Square Mall
I677719,C113263,Female,48,Shoes,5,3000.85,Cash,6/9/2021,Emaar Square Mall
I315008,C323955,Male,58,Cosmetics,4,162.64,Credit Card,20/04/2021,Cevahir AVM
I317983,C756940,Female,18,Cosmetics,5,203.3,Cash,5/8/2022,Metrocity
I195290,C172215,Female,55,Clothing,2,600.16,Credit Card,15/01/2023,Metrocity
I222600,C451849,Male,55,Clothing,1,300.08,Credit Card,8/10/2021,Kanyon
I155366,C223399,Male,32,Cosmetics,5,203.3,Debit Card,5/9/2022,Istinye Park
I299101,C110045,Female,21,Shoes,4,2400.68,Cash,14/01/2021,Mall of Istanbul
I102534,C522955,Female,46,Clothing,4,1200.32,Debit Card,30/11/2022,Metrocity
I153049,C224701,Female,28,Toys,5,179.2,Cash,1/11/2021,Metrocity
I154908,C133519,Female,24,Clothing,2,600.16,Credit Card,1/1/2023,Viaport Outlet
I966884,C181366,Female,61,Shoes,5,3000.85,Cash,6/8/2021,Kanyon
I736358,C251791,Male,42,Books,2,30.3,Cash,27/06/2022,Kanyon
I199461,C166050,Male,66,Food & Beverage,4,20.92,Credit Card,9/4/2022,Istinye Park
I209312,C140983,Male,57,Toys,4,143.36,Cash,4/9/2021,Kanyon
I245495,C367810,Male,32,Clothing,1,300.08,Credit Card,15/06/2022,Cevahir AVM
I183851,C191944,Female,45,Cosmetics,1,40.66,Cash,27/11/2022,Cevahir AVM
I257846,C338124,Female,34,Cosmetics,1,40.66,Cash,30/11/2022,Metrocity
I276765,C256299,Female,43,Technology,3,3150.0,Cash,1/7/2022,Mall of Istanbul
I246453,C100651,Female,58,Technology,1,1050.0,Credit Card,10/2/2022,Kanyon
I475766,C272036,Male,18,Clothing,1,300.08,Cash,15/12/2021,Zorlu Center
I326714,C156604,Female,30,Cosmetics,5,203.3,Cash,1/1/2023,Viaport Outlet
I431086,C216933,Male,60,Clothing,4,1200.32,Credit Card,8/5/2021,Kanyon
I152880,C301285,Male,29,Food & Beverage,4,20.92,Cash,19/11/2021,Mall of Istanbul
I335519,C221378,Male,22,Food & Beverage,4,20.92,Credit Card,5/6/2022,Istinye Park
I291612,C242380,Female,37,Books,3,45.45,Cash,7/11/2022,Metrocity
I128401,C750603,Female,43,Toys,1,35.84,Cash,25/05/2022,Cevahir AVM
I324068,C218566,Female,21,Clothing,4,1200.32,Credit Card,24/02/2022,Viaport Outlet
I190243,C769914,Female,48,Books,4,60.6,Debit Card,3/1/2022,Mall of Istanbul
I220509,C145677,Male,42,Cosmetics,4,162.64,Cash,20/06/2021,Zorlu Center
I201819,C130428,Female,67,Cosmetics,3,121.98,Credit Card,8/9/2021,Mall of Istanbul
I902140,C321936,Male,19,Shoes,3,1800.51,Debit Card,16/10/2022,Kanyon
I150787,C268598,Male,41,Cosmetics,3,121.98,Cash,15/02/2022,Mall of Istanbul
I191652,C187491,Female,69,Clothing,4,1200.32,Cash,18/10/2021,Kanyon
I555520,C225939,Female,60,Cosmetics,5,203.3,Credit Card,29/04/2021,Metrocity
I145060,C168575,Male,49,Clothing,1,300.08,Cash,1/2/2022,Istinye Park
I214754,C107997,Male,65,Books,5,75.75,Cash,2/10/2021,Istinye Park
I814375,C675706,Female,42,Clothing,5,1500.4,Cash,26/08/2021,Cevahir AVM
I322120,C702429,Male,29,Shoes,3,1800.51,Cash,11/1/2021,Mall of Istanbul
I773266,C105783,Female,28,Shoes,4,2400.68,Cash,14/03/2021,Kanyon
I264085,C480969,Female,39,Shoes,1,600.17,Credit Card,4/8/2022,Emaar Square Mall
I288856,C293285,Male,37,Books,5,75.75,Debit Card,20/04/2022,Mall of Istanbul
I465733,C134277,Male,56,Shoes,5,3000.85,Credit Card,5/2/2022,Mall of Istanbul
I551789,C237352,Female,38,Clothing,5,1500.4,Cash,24/07/2022,Viaport Outlet
I211156,C196680,Male,67,Clothing,4,1200.32,Debit Card,4/2/2023,Zorlu Center
I699039,C312644,Female,64,Shoes,1,600.17,Cash,13/02/2021,Emaar Square Mall
I327291,C246052,Female,33,Clothing,2,600.16,Debit Card,3/5/2021,Kanyon
I290070,C219964,Female,56,Food & Beverage,3,15.69,Cash,6/10/2021,Mall of Istanbul
I230964,C274338,Female,50,Clothing,3,900.24,Cash,21/11/2022,Kanyon
I158203,C162668,Male,56,Clothing,4,1200.32,Cash,18/10/2021,Metrocity
I232883,C122279,Female,60,Souvenir,3,35.19,Cash,9/3/2022,Metrocity
I274630,C298873,Male,61,Food & Beverage,5,26.15,Cash,12/5/2021,Istinye Park
I325281,C885185,Female,26,Toys,5,179.2,Cash,18/05/2021,Kanyon
I851731,C295697,Female,45,Clothing,3,900.24,Credit Card,11/2/2022,Kanyon
I722780,C740276,Male,64,Technology,4,4200.0,Credit Card,21/01/2022,Zorlu Center
I206487,C153585,Female,26,Souvenir,1,11.73,Credit Card,4/8/2021,Kanyon
I199519,C223163,Female,67,Food & Beverage,5,26.15,Cash,28/12/2022,Zorlu Center
I518525,C955696,Male,24,Shoes,5,3000.85,Cash,4/1/2022,Cevahir AVM
I206044,C336393,Female,38,Clothing,3,900.24,Credit Card,1/2/2021,Emaar Square Mall
I178775,C498308,Female,37,Clothing,3,900.24,Credit Card,6/3/2023,Metrocity
I566962,C493908,Female,25,Clothing,5,1500.4,Cash,9/5/2021,Mall of Istanbul
I124970,C795774,Male,18,Clothing,1,300.08,Credit Card,3/12/2022,Zorlu Center
I211868,C338587,Female,37,Shoes,5,3000.85,Cash,13/03/2022,Emaar Square Mall
I108011,C339842,Female,48,Cosmetics,2,81.32,Cash,10/2/2022,Metropol AVM
I617279,C326806,Male,68,Clothing,5,1500.4,Credit Card,21/05/2021,Metropol AVM
I124099,C539982,Male,40,Food & Beverage,2,10.46,Cash,22/01/2021,Metropol AVM
I118987,C154261,Female,38,Toys,3,107.52,Credit Card,8/3/2023,Kanyon
I306664,C321725,Male,24,Cosmetics,2,81.32,Debit Card,20/02/2021,Mall of Istanbul
I198737,C889515,Male,39,Shoes,3,1800.51,Cash,26/02/2022,Mall of Istanbul
I322392,C187419,Male,23,Food & Beverage,3,15.69,Credit Card,18/09/2022,Kanyon
I184761,C319716,Female,31,Clothing,1,300.08,Cash,11/7/2022,Mall of Istanbul
I548790,C463928,Male,26,Clothing,3,900.24,Cash,19/12/2021,Mall of Istanbul
I283703,C421190,Male,50,Books,1,15.15,Debit Card,12/10/2022,Viaport Outlet
I883022,C186458,Female,68,Technology,5,5250.0,Credit Card,15/02/2022,Cevahir AVM
I262464,C150734,Female,62,Cosmetics,4,162.64,Cash,13/05/2022,Cevahir AVM
I219322,C108336,Female,39,Technology,3,3150.0,Credit Card,11/9/2021,Mall of Istanbul
I202463,C169511,Female,38,Cosmetics,3,121.98,Cash,24/02/2021,Metropol AVM
I347694,C150938,Male,63,Souvenir,2,23.46,Cash,18/02/2023,Emaar Square Mall
I258932,C122048,Female,63,Food & Beverage,5,26.15,Cash,6/3/2022,Istinye Park
I257616,C269638,Female,58,Clothing,4,1200.32,Debit Card,12/10/2022,Kanyon
I913128,C217430,Male,36,Food & Beverage,5,26.15,Credit Card,11/11/2022,Kanyon
I337963,C214306,Male,68,Clothing,1,300.08,Cash,28/02/2021,Istinye Park
I220388,C206542,Female,20,Technology,1,1050.0,Cash,5/11/2021,Mall of Istanbul
I105769,C239288,Female,49,Clothing,3,900.24,Credit Card,14/02/2022,Forum Istanbul
I789512,C320510,Male,55,Souvenir,5,58.65,Cash,4/12/2021,Mall of Istanbul
I336319,C127097,Male,28,Food & Beverage,2,10.46,Cash,26/03/2022,Metrocity
I292582,C153899,Female,38,Souvenir,5,58.65,Cash,28/04/2021,Mall of Istanbul
I276132,C862919,Female,18,Food & Beverage,1,5.23,Debit Card,24/08/2021,Forum Istanbul
I129627,C292819,Male,52,Cosmetics,5,203.3,Credit Card,5/6/2021,Kanyon
I308275,C108392,Male,47,Clothing,3,900.24,Debit Card,2/12/2021,Viaport Outlet
I126126,C101278,Female,59,Clothing,3,900.24,Cash,19/01/2023,Metrocity
I681726,C299336,Female,53,Cosmetics,4,162.64,Credit Card,26/03/2022,Mall of Istanbul
I280743,C166031,Female,20,Clothing,1,300.08,Credit Card,25/04/2021,Kanyon
I795161,C384370,Male,61,Toys,4,143.36,Cash,24/09/2021,Metrocity
I125996,C155847,Male,27,Toys,1,35.84,Cash,20/02/2022,Metrocity
I184302,C383439,Female,63,Clothing,4,1200.32,Cash,15/01/2022,Cevahir AVM
I268616,C236676,Female,47,Clothing,4,1200.32,Cash,23/02/2021,Mall of Istanbul
I214970,C126219,Female,67,Food & Beverage,3,15.69,Cash,29/03/2022,Mall of Istanbul
I302568,C231939,Female,37,Toys,1,35.84,Credit Card,19/06/2022,Istinye Park
I750512,C413234,Male,23,Clothing,3,900.24,Debit Card,28/04/2021,Metropol AVM
I984094,C249818,Male,65,Souvenir,4,46.92,Credit Card,16/10/2022,Kanyon
I109939,C250022,Male,59,Souvenir,5,58.65,Cash,16/08/2021,Kanyon
I790657,C156448,Male,27,Cosmetics,4,162.64,Cash,26/09/2022,Mall of Istanbul
I618060,C284182,Female,48,Clothing,5,1500.4,Credit Card,10/1/2021,Kanyon
I274580,C270266,Male,39,Clothing,4,1200.32,Debit Card,28/03/2021,Mall of Istanbul
I551987,C869293,Female,55,Toys,1,35.84,Credit Card,21/03/2022,Kanyon
I113247,C460211,Male,30,Food & Beverage,4,20.92,Debit Card,24/06/2022,Mall of Istanbul
I117412,C214179,Female,67,Clothing,5,1500.4,Credit Card,13/02/2021,Kanyon
I148784,C180322,Female,32,Books,5,75.75,Credit Card,15/07/2021,Kanyon
I291743,C132254,Female,39,Toys,1,35.84,Cash,21/08/2021,Mall of Istanbul
I320760,C105241,Male,62,Cosmetics,4,162.64,Credit Card,15/09/2021,Mall of Istanbul
I818284,C330280,Male,56,Clothing,4,1200.32,Cash,13/01/2023,Mall of Istanbul
I781626,C106652,Male,27,Clothing,3,900.24,Credit Card,25/12/2021,Metrocity
I139221,C173273,Male,52,Technology,1,1050.0,Debit Card,18/07/2021,Kanyon
I418405,C185607,Female,27,Shoes,1,600.17,Credit Card,29/01/2023,Metrocity
I212733,C579846,Female,19,Clothing,4,1200.32,Credit Card,16/04/2022,Metrocity
I956188,C303884,Male,36,Cosmetics,4,162.64,Debit Card,21/05/2021,Istinye Park
I202725,C106464,Male,47,Cosmetics,2,81.32,Cash,23/03/2021,Cevahir AVM
I126877,C198879,Male,52,Food & Beverage,5,26.15,Cash,30/10/2022,Mall of Istanbul
I329455,C644186,Female,32,Clothing,1,300.08,Cash,10/4/2022,Viaport Outlet
I316989,C213345,Female,37,Clothing,1,300.08,Cash,25/09/2022,Metrocity
I396585,C175634,Female,34,Shoes,5,3000.85,Cash,15/02/2021,Emaar Square Mall
I126198,C238407,Female,41,Clothing,2,600.16,Cash,26/01/2022,Istinye Park
I196274,C324496,Male,37,Clothing,3,900.24,Debit Card,9/7/2022,Mall of Istanbul
I198306,C266888,Female,34,Clothing,2,600.16,Credit Card,26/01/2022,Metrocity
I102068,C317485,Female,20,Souvenir,1,11.73,Cash,7/7/2021,Metrocity
I266354,C221279,Male,69,Clothing,3,900.24,Cash,5/8/2022,Mall of Istanbul
I332703,C851650,Female,26,Food & Beverage,4,20.92,Cash,1/6/2021,Metrocity
I131283,C219715,Male,30,Clothing,4,1200.32,Cash,16/08/2022,Mall of Istanbul
I806254,C233547,Female,28,Clothing,4,1200.32,Cash,6/5/2021,Istinye Park
I192381,C365133,Male,38,Souvenir,3,35.19,Credit Card,1/3/2022,Emaar Square Mall
I144462,C408927,Female,19,Cosmetics,5,203.3,Cash,4/3/2021,Emaar Square Mall
I942231,C135874,Female,41,Shoes,3,1800.51,Cash,8/4/2022,Mall of Istanbul
I167554,C559087,Female,39,Souvenir,5,58.65,Credit Card,6/2/2021,Mall of Istanbul
I213782,C376219,Female,55,Clothing,4,1200.32,Credit Card,28/09/2022,Kanyon
I303400,C314615,Female,20,Clothing,2,600.16,Credit Card,6/9/2022,Emaar Square Mall
I251426,C570309,Female,46,Food & Beverage,1,5.23,Credit Card,7/11/2021,Emaar Square Mall
I282647,C457933,Female,53,Clothing,2,600.16,Cash,22/03/2021,Metrocity
I197300,C335671,Female,63,Cosmetics,2,81.32,Debit Card,2/7/2022,Metrocity
I276258,C722703,Female,40,Cosmetics,3,121.98,Cash,22/12/2021,Kanyon
I946723,C306271,Male,52,Food & Beverage,1,5.23,Credit Card,20/05/2022,Zorlu Center
I210921,C306259,Male,65,Cosmetics,3,121.98,Cash,30/03/2022,Kanyon
I355868,C205439,Female,64,Shoes,1,600.17,Cash,26/11/2021,Forum Istanbul
I222060,C280489,Female,54,Technology,1,1050.0,Cash,21/02/2021,Kanyon
I608683,C172614,Female,62,Clothing,5,1500.4,Debit Card,9/11/2022,Viaport Outlet
I358942,C145888,Female,62,Clothing,1,300.08,Cash,23/12/2021,Mall of Istanbul
I650930,C184001,Female,47,Food & Beverage,2,10.46,Debit Card,24/06/2021,Istinye Park
I262534,C278262,Male,51,Clothing,1,300.08,Credit Card,20/03/2022,Mall of Istanbul
I271875,C321315,Female,54,Food & Beverage,3,15.69,Credit Card,5/11/2022,Metropol AVM
I210317,C300625,Female,67,Clothing,5,1500.4,Credit Card,1/3/2022,Zorlu Center
I228228,C254929,Female,26,Food & Beverage,1,5.23,Cash,9/9/2022,Mall of Istanbul
I218616,C568826,Female,42,Clothing,1,300.08,Cash,14/12/2021,Kanyon
I202868,C254007,Male,30,Clothing,2,600.16,Debit Card,27/02/2022,Kanyon
I236379,C347605,Female,50,Technology,4,4200.0,Credit Card,8/9/2021,Metrocity
I235766,C289569,Male,66,Food & Beverage,4,20.92,Debit Card,4/11/2022,Mall of Istanbul
I264820,C359459,Female,59,Toys,3,107.52,Cash,26/02/2021,Metropol AVM
I151287,C941532,Female,50,Toys,4,143.36,Cash,22/10/2021,Mall of Istanbul
I198865,C109455,Female,19,Technology,5,5250.0,Cash,3/1/2021,Metrocity
I699324,C113264,Male,53,Clothing,4,1200.32,Cash,10/3/2021,Cevahir AVM
I528670,C106004,Female,41,Toys,4,143.36,Cash,10/1/2022,Istinye Park
I263802,C250803,Male,46,Food & Beverage,3,15.69,Cash,3/11/2021,Viaport Outlet
I330137,C284570,Female,21,Clothing,4,1200.32,Cash,7/1/2021,Istinye Park
I212607,C661118,Female,41,Books,1,15.15,Cash,26/05/2021,Metrocity
I541275,C164182,Male,41,Books,2,30.3,Credit Card,18/03/2021,Metropol AVM
I254035,C377944,Male,56,Toys,1,35.84,Credit Card,12/7/2022,Zorlu Center
I138936,C276219,Male,62,Clothing,1,300.08,Debit Card,8/10/2022,Cevahir AVM
I794646,C257755,Male,68,Toys,2,71.68,Credit Card,22/02/2021,Mall of Istanbul
I954232,C209805,Male,49,Clothing,3,900.24,Credit Card,31/10/2022,Mall of Istanbul
I273060,C320778,Female,40,Toys,5,179.2,Cash,1/7/2021,Cevahir AVM
I258503,C622983,Female,32,Cosmetics,1,40.66,Debit Card,3/3/2023,Kanyon
I225440,C332528,Male,64,Clothing,5,1500.4,Debit Card,25/08/2022,Zorlu Center
I121497,C281177,Female,47,Toys,4,143.36,Credit Card,18/04/2022,Forum Istanbul
I109188,C298201,Male,39,Food & Beverage,4,20.92,Debit Card,27/11/2021,Emaar Square Mall
I113554,C702864,Male,24,Food & Beverage,3,15.69,Cash,29/09/2021,Metropol AVM
I296312,C248503,Female,21,Clothing,1,300.08,Cash,23/09/2021,Mall of Istanbul
I220819,C207889,Male,27,Clothing,2,600.16,Credit Card,23/02/2022,Metrocity
I856190,C100672,Male,25,Clothing,5,1500.4,Cash,17/05/2022,Mall of Istanbul
I238168,C243299,Female,57,Cosmetics,2,81.32,Debit Card,10/4/2022,Metrocity
I195044,C238908,Female,66,Clothing,1,300.08,Cash,30/12/2022,Mall of Istanbul
I567491,C294528,Male,32,Clothing,4,1200.32,Credit Card,14/10/2021,Emaar Square Mall
I232088,C182473,Male,32,Cosmetics,2,81.32,Cash,6/4/2022,Kanyon
I140945,C238533,Female,18,Books,5,75.75,Debit Card,16/01/2023,Istinye Park
I165899,C335717,Male,43,Food & Beverage,1,5.23,Debit Card,31/12/2021,Mall of Istanbul
I202742,C291302,Female,53,Cosmetics,2,81.32,Credit Card,25/12/2022,Istinye Park
I162788,C304517,Female,26,Cosmetics,4,162.64,Debit Card,25/07/2022,Metrocity
I272651,C228599,Female,66,Shoes,3,1800.51,Credit Card,28/01/2022,Istinye Park
I234673,C245349,Male,69,Food & Beverage,4,20.92,Credit Card,8/7/2021,Metropol AVM
I330178,C891741,Female,23,Food & Beverage,2,10.46,Credit Card,31/12/2021,Metrocity
I335604,C237309,Male,37,Food & Beverage,1,5.23,Credit Card,13/11/2021,Metropol AVM
I331964,C347148,Female,68,Food & Beverage,2,10.46,Credit Card,18/02/2022,Emaar Square Mall
I329897,C553679,Male,48,Cosmetics,5,203.3,Cash,24/11/2022,Mall of Istanbul
I203445,C233852,Male,37,Toys,1,35.84,Cash,25/02/2021,Kanyon
I344841,C305576,Female,66,Books,1,15.15,Credit Card,10/1/2022,Mall of Istanbul
I332673,C326393,Female,28,Clothing,2,600.16,Cash,31/05/2022,Viaport Outlet
I136209,C143246,Male,33,Cosmetics,3,121.98,Cash,21/06/2022,Kanyon
I210581,C275082,Female,39,Clothing,1,300.08,Credit Card,2/9/2021,Metrocity
I959066,C989688,Female,61,Shoes,2,1200.34,Cash,1/10/2021,Cevahir AVM
I157954,C241461,Female,33,Shoes,5,3000.85,Credit Card,25/02/2021,Zorlu Center
